job_id,job_title,industry,skills_required,,,,,
33,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
34,AI Engineer,AI,"TensorFlow, PyTorch",,,,,
35,AI Engineer,AI,"PyTorch, Python",,,,,
36,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
37,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
38,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
39,ML Researcher,AI,"TensorFlow, Python",,,,,
40,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
41,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
42,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
43,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
44,ML Researcher,AI,"Python, TensorFlow",,,,,
45,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
46,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
47,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
48,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
49,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
50,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
51,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
52,AI Engineer,AI,"Python, TensorFlow",,,,,
53,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
54,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
55,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
56,ML Researcher,AI,"TensorFlow, PyTorch",,,,,
57,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
58,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
59,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
60,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
61,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
62,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
63,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
64,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
65,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
66,AI Engineer,AI,"PyTorch, Python",,,,,
67,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
68,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
69,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
70,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
71,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
72,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
73,Data Scientist,AI,"PyTorch, Python",,,,,
74,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
75,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
76,Data Scientist,AI,"PyTorch, Python",,,,,
77,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
78,Data Scientist,AI,"Python, PyTorch",,,,,
79,Data Scientist,AI,"PyTorch, Python",,,,,
80,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
81,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
82,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
83,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
84,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
85,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
86,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
87,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
88,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
89,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
90,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
91,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
92,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
93,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
94,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
95,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
96,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
97,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
98,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
99,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
100,AI Engineer,AI,"PyTorch, TensorFlow",,,,,
101,Data Scientist,AI,"Python, PyTorch",,,,,
102,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
103,ML Researcher,AI,"Python, PyTorch",,,,,
104,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
105,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
106,Quantum Researcher,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
107,AI Engineer,AI,"PyTorch, TensorFlow",,,,,
108,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
109,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
110,Data Scientist,AI,"Python, TensorFlow",,,,,
111,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
112,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
113,Data Scientist,AI,"PyTorch, TensorFlow",,,,,
114,ML Researcher,AI,"TensorFlow, PyTorch",,,,,
115,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
116,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
117,ML Researcher,AI,"Python, PyTorch",,,,,
118,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
119,Quantum Software Developer,Quantum Computing,"Linear Algebra, Qiskit",,,,,
120,AI Engineer,AI,"TensorFlow, Python",,,,,
121,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
122,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
123,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
124,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
125,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
126,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
127,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
128,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
129,Data Scientist,AI,"Python, TensorFlow",,,,,
130,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
131,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
132,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
133,AI Engineer,AI,"Python, PyTorch",,,,,
134,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
135,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
136,ML Researcher,AI,"PyTorch, TensorFlow",,,,,
137,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
138,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
139,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
140,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
141,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
142,AI Engineer,AI,"Python, TensorFlow",,,,,
143,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
144,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
145,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
146,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
147,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
148,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
149,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
150,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
151,Quantum Researcher,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
152,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
153,Data Scientist,AI,"TensorFlow, Python",,,,,
154,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
155,ML Researcher,AI,"Python, TensorFlow",,,,,
156,AI Engineer,AI,"Python, PyTorch",,,,,
157,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
158,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
159,ML Researcher,AI,"Python, TensorFlow",,,,,
160,AI Engineer,AI,"Python, TensorFlow",,,,,
161,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
162,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
163,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
164,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
165,Quantum Software Developer,Quantum Computing,"Qiskit, Linear Algebra",,,,,
166,AI Engineer,AI,"TensorFlow, PyTorch",,,,,
167,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
168,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
169,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
170,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
171,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
172,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
173,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
174,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
175,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
176,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
177,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
178,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
179,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
180,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
181,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
182,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
183,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
184,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
185,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
186,ML Researcher,AI,"Python, PyTorch",,,,,
187,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
188,Quantum Software Developer,Quantum Computing,"Qiskit, Linear Algebra",,,,,
189,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
190,Smart Contract Engineer,Blockchain,"Solidity, Rust",,,,,
191,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
192,Data Scientist,AI,"TensorFlow, Python",,,,,
193,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
194,ML Researcher,AI,"TensorFlow, Python",,,,,
195,Quantum Software Developer,Quantum Computing,"Qiskit, Linear Algebra",,,,,
196,Smart Contract Engineer,Blockchain,"Solidity, Rust",,,,,
197,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
198,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
199,ML Researcher,AI,"TensorFlow, Python",,,,,
200,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
201,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
202,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
203,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
204,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
205,Data Scientist,AI,"TensorFlow, Python",,,,,
206,Smart Contract Engineer,Blockchain,"Rust, Solidity",,,,,
207,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
208,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
209,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
210,Smart Contract Engineer,Blockchain,"Solidity, Rust",,,,,
211,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
212,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
213,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
214,ML Researcher,AI,"PyTorch, TensorFlow",,,,,
215,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
216,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
217,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
218,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
219,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
220,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
221,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
222,AI Engineer,AI,"Python, PyTorch",,,,,
223,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
224,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
225,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
226,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
227,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
228,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
229,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
230,Data Scientist,AI,"TensorFlow, PyTorch",,,,,
231,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
232,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
233,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
234,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
235,ML Researcher,AI,"Python, PyTorch",,,,,
236,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
237,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
238,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
239,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
240,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
241,Data Scientist,AI,"TensorFlow, Python",,,,,
242,ML Researcher,AI,"PyTorch, TensorFlow",,,,,
243,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
244,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
245,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
246,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
247,Data Scientist,AI,"TensorFlow, Python",,,,,
248,Data Scientist,AI,"Python, PyTorch",,,,,
249,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
250,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
251,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
252,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
253,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
254,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
255,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
256,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
257,ML Researcher,AI,"PyTorch, Python",,,,,
258,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
259,AI Engineer,AI,"PyTorch, TensorFlow",,,,,
260,Quantum Software Developer,Quantum Computing,"Linear Algebra, Qiskit",,,,,
261,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
262,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
263,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
264,Data Scientist,AI,"Python, TensorFlow",,,,,
265,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
266,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
267,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
268,ML Researcher,AI,"TensorFlow, PyTorch",,,,,
269,Blockchain Developer,Blockchain,"Solidity, Ethereum",,,,,
270,Data Scientist,AI,"Python, TensorFlow",,,,,
271,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
272,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
273,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
274,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
275,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
276,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
277,AI Engineer,AI,"TensorFlow, Python",,,,,
278,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
279,Data Scientist,AI,"Python, TensorFlow",,,,,
280,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
281,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
282,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
283,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
284,ML Researcher,AI,"PyTorch, Python",,,,,
285,Data Scientist,AI,"PyTorch, TensorFlow",,,,,
286,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
287,AI Engineer,AI,"Python, TensorFlow",,,,,
288,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
289,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
290,Quantum Software Developer,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
291,ML Researcher,AI,"Python, PyTorch",,,,,
292,ML Researcher,AI,"Python, PyTorch",,,,,
293,Quantum Researcher,Quantum Computing,"Qiskit, Linear Algebra",,,,,
294,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
295,ML Researcher,AI,"PyTorch, Python",,,,,
296,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
297,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
298,Quantum Software Developer,Quantum Computing,"Qiskit, Linear Algebra",,,,,
299,AI Engineer,AI,"TensorFlow, Python",,,,,
300,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
301,Data Scientist,AI,"Python, PyTorch",,,,,
302,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
303,Data Scientist,AI,"Python, TensorFlow",,,,,
304,Data Scientist,AI,"Python, TensorFlow",,,,,
305,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
306,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
307,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
308,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
309,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
310,Blockchain Developer,Blockchain,"Ethereum, Solidity",,,,,
311,Blockchain Developer,Blockchain,"Rust, Solidity",,,,,
312,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
313,Smart Contract Engineer,Blockchain,"Ethereum, Rust",,,,,
314,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
315,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
316,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
317,AI Engineer,AI,"Python, PyTorch",,,,,
318,Renewable Energy Engineer,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
319,ML Researcher,AI,"PyTorch, TensorFlow",,,,,
320,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
321,Smart Contract Engineer,Blockchain,"Solidity, Ethereum",,,,,
322,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
323,Smart Contract Engineer,Blockchain,"Rust, Ethereum",,,,,
324,Quantum Researcher,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
325,Smart Contract Engineer,Blockchain,"Solidity, Rust",,,,,
326,Blockchain Developer,Blockchain,"Solidity, Rust",,,,,
327,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
328,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
329,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
330,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
331,AI Engineer,AI,"PyTorch, TensorFlow",,,,,
332,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
333,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
334,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
335,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
336,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
337,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
338,Smart Contract Engineer,Blockchain,"Ethereum, Solidity",,,,,
339,Quantum Researcher,Quantum Computing,"Linear Algebra, Qiskit",,,,,
340,Quantum Researcher,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
341,Data Scientist,AI,"PyTorch, TensorFlow",,,,,
342,Quantum Software Developer,Quantum Computing,"Linear Algebra, Qiskit",,,,,
343,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
344,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
345,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
346,Data Scientist,AI,"TensorFlow, PyTorch",,,,,
347,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
348,Quantum Researcher,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
349,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
350,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
351,ML Researcher,AI,"Python, PyTorch",,,,,
352,AI Engineer,AI,"Python, PyTorch",,,,,
353,Quantum Software Developer,Quantum Computing,"Qiskit, Quantum Algorithms",,,,,
354,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
355,AI Engineer,AI,"TensorFlow, PyTorch",,,,,
356,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
357,Data Scientist,AI,"Python, TensorFlow",,,,,
358,AI Engineer,AI,"Python, TensorFlow",,,,,
359,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
360,Data Scientist,AI,"TensorFlow, Python",,,,,
361,Data Scientist,AI,"Python, PyTorch",,,,,
362,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
363,Data Scientist,AI,"PyTorch, TensorFlow",,,,,
364,Quantum Software Developer,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
365,ML Researcher,AI,"TensorFlow, PyTorch",,,,,
366,Blockchain Developer,Blockchain,"Rust, Ethereum",,,,,
367,Blockchain Developer,Blockchain,"Ethereum, Rust",,,,,
368,AI Engineer,AI,"Python, TensorFlow",,,,,
369,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Linear Algebra",,,,,
370,Quantum Researcher,Quantum Computing,"Linear Algebra, Quantum Algorithms",,,,,
371,Renewable Energy Engineer,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
372,Sustainability Analyst,Green Tech,"Energy Modeling, Climate Data Analysis",,,,,
373,AI Engineer,AI,"PyTorch, TensorFlow",,,,,
374,Quantum Researcher,Quantum Computing,"Quantum Algorithms, Qiskit",,,,,
375,Sustainability Analyst,Green Tech,"Climate Data Analysis, Energy Modeling",,,,,
376,Data Scientist,AI,"PyTorch, Python",,,,,
